2025-09-11 17:32:49,430 - INFO - ============================================================
2025-09-11 17:32:49,431 - INFO - SISTEMA DE LOGGING INICIALIZADO
2025-09-11 17:32:49,431 - INFO - Archivo de log: logs/traffic_sim_20250911_173249.log
2025-09-11 17:32:49,431 - INFO - Nivel de logging: INFO
2025-09-11 17:32:49,431 - INFO - ============================================================
2025-09-11 17:32:49,714 - INFO - Creados 66 semáforos en total
2025-09-11 17:32:49,715 - INFO - Simulación inicializada correctamente
2025-09-11 17:32:49,715 - INFO - Configuración: 1600x1000
2025-09-11 17:32:49,715 - INFO - Calles creadas: 51
2025-09-11 17:32:49,715 - INFO - Semáforos instalados: 66
2025-09-11 17:32:49,715 - INFO - Edificios: 25
2025-09-11 17:32:49,715 - INFO - Hora inicial: 08:00
2025-09-11 17:33:07,610 - INFO - [17:33:07] SEMÁFORO (800,400) -> VERDE
2025-09-11 17:33:07,706 - INFO - [17:33:07] SEMÁFORO (400,320) -> VERDE
2025-09-11 17:33:07,722 - INFO - [17:33:07] SEMÁFORO (1000,200) -> VERDE
2025-09-11 17:33:07,738 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en NORTE (83.3%)
2025-09-11 17:33:07,754 - INFO - [17:33:07] SEMÁFORO (800,500) -> VERDE
2025-09-11 17:33:07,854 - INFO - [17:33:07] SEMÁFORO (1100,100) -> VERDE
2025-09-11 17:33:07,919 - INFO - [17:33:07] SEMÁFORO (1100,800) -> VERDE
2025-09-11 17:33:08,063 - INFO - [17:33:08] SEMÁFORO (500,700) -> VERDE
2025-09-11 17:33:08,175 - INFO - [17:33:08] SEMÁFORO (500,800) -> VERDE
2025-09-11 17:33:08,208 - INFO - ✅ Congestión en SUR normalizada (0.0%)
2025-09-11 17:33:08,224 - INFO - [17:33:08] SEMÁFORO (400,520) -> AMARILLO
2025-09-11 17:33:08,562 - INFO - [17:33:08] SEMÁFORO (300,500) -> VERDE
2025-09-11 17:33:08,721 - INFO - [17:33:08] SEMÁFORO (900,400) -> VERDE
2025-09-11 17:33:08,898 - INFO - [17:33:08] NUEVO AUTO - AUTO_7744 en (1350,651)
2025-09-11 17:33:08,962 - INFO - [17:33:08] SEMÁFORO (800,700) -> VERDE
2025-09-11 17:33:08,962 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en ESTE (88.9%)
2025-09-11 17:33:09,042 - INFO - [17:33:09] SEMÁFORO (600,400) -> AMARILLO
2025-09-11 17:33:09,252 - INFO - [17:33:09] SEMÁFORO (1200,400) -> VERDE
2025-09-11 17:33:09,562 - INFO - ✅ Congestión en ESTE normalizada (55.6%)
2025-09-11 17:33:09,737 - INFO - [17:33:09] SEMÁFORO (200,400) -> VERDE
2025-09-11 17:33:09,771 - INFO - [17:33:09] SEMÁFORO (500,500) -> VERDE
2025-09-11 17:33:09,978 - INFO - [17:33:09] SEMÁFORO (300,400) -> VERDE
2025-09-11 17:33:09,994 - INFO - [17:33:09] SEMÁFORO (500,100) -> AMARILLO
2025-09-11 17:33:10,092 - INFO - [17:33:10] NUEVO TAXI - TAXI_6005 en (2,700)
2025-09-11 17:33:10,188 - INFO - [17:33:10] SEMÁFORO (300,600) -> VERDE
2025-09-11 17:33:10,219 - INFO - [17:33:10] SEMÁFORO (1200,600) -> VERDE
2025-09-11 17:33:10,301 - INFO - [17:33:10] SEMÁFORO (1100,700) -> VERDE
2025-09-11 17:33:10,348 - INFO - [17:33:10] SEMÁFORO (1000,600) -> AMARILLO
2025-09-11 17:33:10,364 - INFO - [17:33:10] SEMÁFORO (600,500) -> VERDE
2025-09-11 17:33:10,462 - INFO - ✅ Congestión en OESTE normalizada (50.0%)
2025-09-11 17:33:10,766 - INFO - Simulación finalizada
2025-09-11 17:33:10,766 - INFO - Duración total: 21.1 segundos
2025-09-11 17:33:10,766 - INFO - Vehículos generados: 17
2025-09-11 17:33:10,766 - INFO - Máximo simultáneo: 14
